Date,Open,High,Low,Close,Volume
2013-10-16,8739.0,8770.0,8740.0,8751.0,7133.0
2013-10-15,8665.0,8761.0,8725.0,8739.0,3820.0
2013-10-14,8675.0,8677.0,8640.0,8665.0,3570.0
2013-10-13,8700.0,8700.0,8666.0,8675.0,2652.0
2013-10-10,8530.0,8634.0,8522.0,8617.0,4851.0
2013-10-09,8525.0,8530.0,8530.0,8530.0,862.0
2013-10-08,8507.0,8561.0,8514.0,8525.0,9717.0
2013-10-07,8591.0,8591.0,8470.0,8507.0,9705.0
2013-10-06,8591.0,8655.0,8591.0,8655.0,1564.0
2013-10-03,8619.0,8622.0,8565.0,8596.0,11143.0
2013-10-02,8586.0,8630.0,8585.0,8619.0,2991.0
2013-10-01,8505.0,8611.0,8582.0,8586.0,3203.0
2013-09-30,8600.0,8600.0,8494.0,8505.0,11633.0
2013-09-29,8606.0,8675.0,8621.0,8647.0,1329.0
2013-09-24,8650.0,8650.0,8600.0,8606.0,1846.0
2013-09-23,8657.0,8657.0,8600.0,8650.0,4498.0
2013-09-17,8567.0,8567.0,8546.0,8560.0,3923.0
2013-09-16,8497.0,8580.0,8560.0,8567.0,6266.0
2013-09-15,8450.0,8520.0,8450.0,8497.0,148.0
2013-09-12,8500.0,8500.0,8425.0,8442.0,2782.0
2013-09-11,8410.0,8456.0,8405.0,8454.0,58731.0
2013-09-10,8242.0,8410.0,8365.0,8410.0,5459.0
2013-09-09,8192.0,8262.0,8210.0,8242.0,8133.0
2013-09-08,8191.0,8195.0,8183.0,8192.0,1288.0
2013-09-03,8194.0,8214.0,8137.0,8191.0,9269.0
2013-09-02,8040.0,8222.0,8168.0,8194.0,638454.0
2013-09-01,8153.0,8040.0,8040.0,8040.0,115.0
2013-08-29,8137.0,8175.0,8143.0,8153.0,3953.0
2013-08-28,8243.0,8186.0,8076.0,8137.0,1928.0
2013-08-27,8380.0,8380.0,8235.0,8243.0,1941.0
2013-08-26,8419.0,8419.0,8366.0,8385.0,6083.0
2013-08-25,8391.0,8420.0,8410.0,8419.0,938.0
2013-08-22,8268.0,8391.0,8302.0,8391.0,7032.0
2013-08-21,8280.0,8280.0,8250.0,8268.0,8358.0
2013-08-20,8354.0,8286.0,8241.0,8252.0,7215.0
2013-08-19,8411.0,8354.0,8303.0,8354.0,7457.0
2013-08-18,8385.0,8440.0,8376.0,8411.0,1595.0
2013-08-15,8432.0,8388.0,8297.0,8303.0,9649.0
2013-08-14,8379.0,8432.0,8376.0,8432.0,6981.0
2013-08-13,8315.0,8412.0,8369.0,8379.0,3925.0
2013-08-12,8291.0,8325.0,8210.0,8315.0,13109.0
2013-08-11,8291.0,8291.0,8291.0,8291.0,330.0
2013-08-08,8233.0,8291.0,8252.0,8291.0,4173.0
2013-08-07,8310.0,8246.0,8222.0,8233.0,9820.0
2013-08-06,8363.0,8400.0,8310.0,8310.0,9107.0
2013-08-05,8404.0,8404.0,8353.0,8363.0,6818.0
2013-08-04,8380.0,8420.0,8380.0,8404.0,243.0
2013-08-01,8225.0,8380.0,8313.0,8376.0,8316.0
2013-07-31,8260.0,8242.0,8207.0,8225.0,17151.0
2013-07-30,8232.0,8303.0,8240.0,8260.0,1959.0
2013-07-29,8251.0,8285.0,8232.0,8232.0,3893.0
2013-07-28,8265.0,8270.0,8220.0,8251.0,382.0
2013-07-25,8353.0,8353.0,8243.0,8265.0,8998.0
2013-07-24,8323.0,8389.0,8326.0,8353.0,8049.0
2013-07-23,8289.0,8330.0,8320.0,8323.0,969.0
2013-07-22,8282.0,8336.0,8289.0,8289.0,6177.0
2013-07-21,8275.0,8293.0,8271.0,8282.0,180.0
2013-07-18,8167.0,8279.0,8270.0,8275.0,820.0
2013-07-17,8203.0,8223.0,8112.0,8167.0,3287.0
2013-07-15,8247.0,8249.0,8193.0,8203.0,7345.0
2013-07-14,8125.0,8248.0,8180.0,8247.0,541.0
2013-07-11,8014.0,8146.0,8121.0,8125.0,7345.0
2013-07-10,8040.0,8046.0,7994.0,8014.0,3959.0
2013-07-09,7978.0,8037.0,8003.0,8032.0,8255.0
2013-07-08,7813.0,7979.0,7897.0,7978.0,2495.0
2013-07-07,7975.0,7821.0,7804.0,7813.0,200.0
2013-07-04,7776.0,7975.0,7851.0,7975.0,4352.0
2013-07-03,7897.0,7776.0,7710.0,7776.0,11116.0
2013-07-02,7988.0,7910.0,7867.0,7897.0,11379.0
2013-07-01,7890.0,7988.0,7890.0,7988.0,11807.0
2013-06-30,7962.0,7895.0,7888.0,7890.0,2303.0
2013-06-27,7916.0,7975.0,7908.0,7962.0,13816.0
2013-06-26,7799.0,7917.0,7799.0,7916.0,8397.0
2013-06-25,7700.0,7799.0,7700.0,7799.0,1345.0
2013-06-24,7830.0,7830.0,7651.0,7656.0,1658.0
2013-06-23,7954.0,7860.0,7820.0,7844.0,1354.0
2013-06-20,8184.0,8184.0,7945.0,7954.0,9654.0
2013-06-19,8195.0,8261.0,8142.0,8184.0,7541.0
2013-06-18,8203.0,8197.0,8168.0,8195.0,1822.0
2013-06-17,8098.0,8209.0,8165.0,8203.0,1558.0
2013-06-16,8115.0,8115.0,8030.0,8098.0,793.0
2013-06-13,8185.0,8022.0,7973.0,8020.0,1940.0
2013-06-12,8154.0,8190.0,8180.0,8185.0,622.0
2013-06-11,8218.0,8240.0,8154.0,8154.0,5045.0
2013-06-10,8260.0,8322.0,8268.0,8277.0,6789.0
2013-06-09,8205.0,8260.0,8260.0,8260.0,96.0
2013-06-06,8175.0,8205.0,8165.0,8205.0,5192.0
2013-06-05,8303.0,8253.0,8165.0,8204.0,5023.0
2013-06-04,8338.0,8360.0,8275.0,8303.0,8523.0
2013-06-03,8204.0,8373.0,8204.0,8338.0,8251.0
2013-06-02,8375.0,8375.0,8252.0,8252.0,1484.0
2013-05-30,8332.0,8388.0,8304.0,8378.0,1639.0
2013-05-29,8455.0,8410.0,8318.0,8332.0,1955.0
2013-05-28,8345.0,8461.0,8445.0,8455.0,373.0
2013-05-27,8343.0,8348.0,8315.0,8345.0,1920.0
2013-05-26,8288.0,8355.0,8288.0,8343.0,289.0
2013-05-23,8440.0,8351.0,8277.0,8288.0,3041.0
2013-05-22,8455.0,8455.0,8429.0,8440.0,1304.0
2013-05-21,8404.0,8436.0,8383.0,8420.0,5259.0
2013-05-20,8393.0,8431.0,8388.0,8404.0,6636.0
2013-05-19,8367.0,8400.0,8390.0,8393.0,94.0
2013-05-16,8350.0,8376.0,8314.0,8367.0,4143.0
2013-05-13,8246.0,8259.0,8203.0,8235.0,5016.0
2013-05-12,8213.0,8315.0,8242.0,8246.0,1201.0
2013-05-09,8200.0,8238.0,8208.0,8213.0,4594.0
2013-05-08,8166.0,8218.0,8166.0,8200.0,2645.0
2013-05-07,8109.0,8181.0,8140.0,8166.0,5706.0
2013-05-06,8110.0,8121.0,8096.0,8109.0,853.0
2013-05-05,7927.0,8070.0,8070.0,8070.0,417.0
2013-05-02,7891.0,7963.0,7893.0,7927.0,7107.0
2013-05-01,7891.0,7891.0,7891.0,7891.0,150.0
2013-04-30,7822.0,7925.0,7889.0,7891.0,2181.0
2013-04-29,7780.0,7851.0,7816.0,7822.0,2959.0
